arxiv_id	preexisting_lean_status	arxiv_v1_lean_hit	paperswithlean_2026-09-01_hit	github_repo_exact_id_hits	web_exact_search_lean_hit	evidence_url
2608.29163	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.29163v1
2608.29201	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.29201v1
2608.29203	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.29203v1
2608.29224	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.29224v1
2608.29750	found_existing_lean	true	true	0	true	https://arxiv.org/abs/2608.29750v1
2608.29981	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.29981v1
2608.30053	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.30053v1
2608.30180	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.30180v1
2608.30266	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.30266v1
2608.30481	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.30481v1
2608.30544	not_found_in_bounded_public_search	false	false	0	false	https://arxiv.org/abs/2608.30544v1
